,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1675,P.S. 012 James B. Colgate,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11413.0,40.68588,-73.757319,12.0,27.0,376.0,4273142.0,4126720001.0,St. Albans                                                                 
1676,I.S. 025 Adrien Block |  World Journalism Preparatory: A College Board Scho |  34-65 192 STREET CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,11365.0,40.736922,-73.77799,8.0,23.0,1347.0,4153296.0,4071170421.0,Fresh Meadows-Utopia                                                       
1677,Collegiate Institute for Math and Science|Astor Collegiate Academy|C Columbus Hs Yabc|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|925 ASTOR AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10469.0,40.859665,-73.861006,11.0,13.0,324.0,2050179.0,2043580001.0,Bronxdale                                                                  
1678,Curtis High School,9.0,3.0,11C,2501-3000,3.14,13.0,34.86,8.29,5.29,10312.0,40.528092,-74.192032,3.0,51.0,198.0,5082634.0,5066130001.0,Annadale-Huguenot-Prince's Bay-Eltingville                                 
1679,P.S. 9 Ryer Avenue Elementary School,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10461.0,40.835779,-73.825735,10.0,13.0,184.0,2072754.0,2053130092.0,Schuylerville-Throgs Neck-Edgewater Park                                   
1680,I.S. 077,2.0,1.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11417.0,40.68259,-73.841202,10.0,32.0,4002.0,4438525.0,4091210011.0,Ozone Park                                                                 
1681,P.S. 223 Lyndon B. Johnson,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11694.0,40.580928,-73.831836,14.0,32.0,938.0,4303853.0,4161810001.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
1682,P.S. 043 Jonas Bronck,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10457.0,40.842084,-73.891116,6.0,17.0,36902.0,2009957.0,2029490064.0,East Tremont                                                               
1683,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",,,,,,,,,,10002.0,40.713684,-73.986336,3.0,1.0,201.0,1003223.0,1002690041.0,Lower East Side                                                            
1684,"Elementary School for Math, Science, and Technolog |  School for Environmental Citizenship |  Creston Academy |  125 EAST 181 STREET CONSOLIDATED LOCATION",,,4C,501-750,,,,,,,,,,,,,,
1685,Eximius College Preparatory Academy: A College Boa |  Bronx Center for Science and Mathematics |  1363 FULTON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10457.0,40.849897,-73.892289,6.0,15.0,37504.0,2099356.0,2030620043.0,East Tremont                                                               
1686,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,,,,,,,,,,11691.0,40.60201,-73.762795,14.0,31.0,100802.0,4300730.0,4157360001.0,Far Rockaway-Bayswater                                                     
1687,"Kingsbridge International High School |  International School for Liberal Arts |  High School for Teaching and the Professions |  Celia Cruz Bronx High School of Music, The |  Walton Yabc |  Discovery High School |  2780 RESERVOIR AVENUE CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10458.0,40.860043,-73.888267,6.0,15.0,387.0,2011810.0,2030590001.0,Belmont                                                                    
1688,District 30 Pre-K Center | 96-10 23 AVENUE,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11434.0,40.675633,-73.783342,12.0,28.0,294.0,4265978.0,4122610001.0,Springfield Gardens North                                                  
1689,P.S. 160 Walter Francis Bishop,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11365.0,40.740565,-73.809131,7.0,20.0,1215.0,4146042.0,4067260070.0,Queensboro Hill                                                            
1690,P.S. X017 |  South Bronx Academy for Applied Media |  Academy of Public Relations |  Jill Chaifetz Transfer High School |  778 FOREST AVENUE CONSOLIDATED LOCATION,2.0,4.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10475.0,40.883025,-73.830366,12.0,12.0,46202.0,2124548.0,2052630192.0,Co-op City                                                                 
1691,The Children's Lab School,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11416.0,40.683104,-73.850121,9.0,32.0,38.0,4541381.0,4090640031.0,Woodhaven                                                                  
1692,PS 5 Port Morris,1.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10458.0,40.872612,-73.883574,7.0,11.0,415.0,2094734.0,2032990060.0,Bedford Park-Fordham North                                                 
1693,P.S. 020 Port Richmond,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10306.0,40.571187,-74.132634,3.0,50.0,138.0,5059927.0,5043730001.0,Oakwood-Oakwood Beach                                                      
1694,P.S. 150 | 334 GREENWICH STREET,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10007.0,40.713814,-74.00557,1.0,1.0,31.0,1079146.0,1001220001.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1695,P.S. 277,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10454.0,40.80937,-73.917584,1.0,8.0,39.0,2000077.0,2022670015.0,Mott Haven-Port Morris                                                     
1696,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10457.0,40.852774,-73.893524,6.0,15.0,395.0,2011538.0,2030490037.0,Claremont-Bathgate                                                         
1697,Riverdale / Kingsbridge Academy (Middle School / High School | 660 West 237 Street,4.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10466.0,40.884953,-73.840524,12.0,12.0,484.0,2066190.0,2049350001.0,Eastchester-Edenwald-Baychester                                            
1698,Business Technology Early College High School |  Martin Van Buren High School |  230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,,,6C,1001-1250,,,,,,11103.0,40.75823,-73.910514,1.0,26.0,163.0,4013655.0,4007380002.0,Astoria                                                                    
1699,I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION,1.0,4.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10453.0,40.849623,-73.91607,5.0,14.0,21502.0,2008460.0,2028660070.0,University Heights-Morris Heights                                          
1700,P.S. 044 David C. Farragut |  Accion Academy |  1825 PROSPECT AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10458.0,40.866827,-73.890725,7.0,15.0,40501.0,2094729.0,2032950001.0,Bedford Park-Fordham North                                                 
1701,P.S. 171 Peter G. Van Alst,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11374.0,40.720924,-73.86135,6.0,29.0,69702.0,4073904.0,4031340024.0,Rego Park                                                                  
1702,Holcombe L. Rucker School of Community Research |  Banana Kelly High School |  965 LONGWOOD AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10454.0,40.809534,-73.919903,1.0,8.0,39.0,2000308.0,2022840034.0,Mott Haven-Port Morris                                                     
1703,P.S. 109 Sedgwick | 1771 Popham Avenue,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10456.0,40.835286,-73.900751,3.0,16.0,149.0,2009718.0,2029320001.0,Morrisania-Melrose                                                         
1704,P.S. 066 School of Higher Expectations |  Fannie Lou Hamer Middle School |  1001 JENNINGS STREET CONSOLIDATED LOCATION,2.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10460.0,40.843945,-73.884788,6.0,17.0,363.0,2013142.0,2031230003.0,East Tremont                                                               
1705,Harvest Collegiate High School |  34 WEST  14 STREET CONSOLIDATED LOCATION,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10036.0,40.755843,-73.984382,5.0,4.0,119.0,1022615.0,1009960021.0,Midtown-Midtown South                                                      
1706,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|  Flushing Yabc|  Flushing Evening High Schl M/W,,,3C,251-500,,,,,,11354.0,40.765166,-73.82789,7.0,20.0,1161.0,4113172.0,4050020001.0,Flushing                                                                   
1707,P.S. 024 Andrew Jackson,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11358.0,40.765133,-73.790083,11.0,19.0,1139.0,4119139.0,4052610001.0,Auburndale                                                                 
1708,P.S. 179 |  Young Leaders Elementary School |  468 EAST 140 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10457.0,40.838288,-73.902987,3.0,16.0,169.0,2009466.0,2029030023.0,Claremont-Bathgate                                                         
1709,P.S. 151 Mary D. Carter,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11366.0,40.726769,-73.806894,8.0,24.0,1257.0,4148003.0,4068340001.0,Kew Gardens Hills                                                          
1710,P.S. M811 - Mickey Mantle School | 466 West End Avenue,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10003.0,40.736518,-73.992725,5.0,2.0,52.0,1089902.0,1008420034.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1711,P.S. 234 |  Academy for New Americans |  30-14 30 STREET CONSOLIDATED LOCATION,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11355.0,40.749545,-73.822073,7.0,20.0,845.0,4116436.0,4051470001.0,Flushing                                                                   
1712,P.S. 046 Edgar Allan Poe,0.0,1.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10454.0,40.810085,-73.923102,1.0,8.0,39.0,2000626.0,2023020040.0,Mott Haven-Port Morris                                                     
1713,P.S. 191 Mayflower |  P.S. Q993 |  85-15 258 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11412.0,40.70646,-73.753579,12.0,27.0,508.0,4234318.0,4109440301.0,Hollis                                                                     
1714,Bronx Collaborative High School |  World View High School |  DeWitt Clinton High School |  100 WEST MOSHOLU PARKWAY SOUTH CONSOLIDATED LOCATION,12.0,12.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,10473.0,40.82229,-73.856167,9.0,18.0,16.0,2022205.0,2036040039.0,Soundview-Castle Hill-Clason Point-Harding Park                            
1715,P.S./M.S 042 R. Vernam | 488 Beach 66 Street,0.0,6.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11364.0,40.746202,-73.758752,11.0,23.0,1367.0,4162449.0,4076190001.0,Oakland Gardens                                                            
1716,P.S. 186 Castlewood |  P.S. Q224 |  252-12 72 AVENUE CONSOLIDATED LOCATION,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11355.0,40.759844,-73.820548,7.0,20.0,863.0,4114763.0,4050510027.0,Murray Hill                                                                
1717,P.S./I.S. 78Q,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11101.0,40.742839,-73.936782,2.0,26.0,199.0,4003540.0,4002820001.0,Hunters Point-Sunnyside-West Maspeth                                       
1718,P.S. 040 Samuel Huntington | Jamaica Children's School | 109-20 UNION HALL STREET CONSOLIDATED LOCATION ,,,2C,1-250,,,,,,11692.0,40.594538,-73.795304,14.0,31.0,964.0,4302817.0,4160390014.0,Hammels-Arverne-Edgemere                                                   
1719,A.C.E. Academy for Scholars at the Geraldine Ferra,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11368.0,40.745709,-73.865329,4.0,21.0,409.0,4040713.0,4016280021.0,North Corona                                                               
1720,Marsh Avenue School for Expeditionary Learning |  Gaynor McCown Expeditionary Learning School |  100 ESSEX DRIVE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10310.0,40.628558,-74.107148,1.0,49.0,121.0,5007417.0,5002760007.0,New Brighton-Silver Lake                                                   
1721,West Bronx Academy for the Future|  Knowledge and Power Preparatory Academy Internatio|  Belmont Preparatory High School|  Fordham High School for the Arts|  Fordham Leadership Academy for Business and Techno|  Bronx High School for Law and Community Service|    500 EAST FORDHAM ROAD CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10468.0,40.882178,-73.88691,7.0,11.0,409.0,2095215.0,2032510201.0,Van Cortlandt Village                                                      
1722,P.S. 001 Tottenville,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10312.0,40.552975,-74.194597,3.0,51.0,17010.0,5079499.0,5060250030.0,Arden Heights                                                              
1723,P.S. 219 Paul Klapper,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11372.0,40.750172,-73.880363,3.0,25.0,279.0,4035854.0,4014600034.0,Jackson Heights                                                            
1724,P.S. 043 | P.S. 256 | 160 Beach 29 Street,2.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11693.0,40.606353,-73.820445,14.0,32.0,107201.0,4448968.0,4153130485.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
1725,Pablo Neruda Academy|Millennium Art Academy|Antonia Pantoja Preparatory Academy: A College Boa|Bronx Community High School|BRONX BRIDGES HIGH SCHOOL|Bronx Guild|Stevenson Yabc|Bronx Compass High School|1980 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10475.0,40.874091,-73.833904,10.0,12.0,46201.0,2116159.0,2051410150.0,Co-op City                                                                 
1726,P.S. 182,1.0,1.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10451.0,40.813641,-73.925313,1.0,8.0,51.0,2000957.0,2023330070.0,Mott Haven-Port Morris                                                     
1727,AFairmont Neighborhood School|  ASamara Community School|  1550 VYSE AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10456.0,40.832866,-73.911418,4.0,16.0,175.0,2002299.0,2024350075.0,East Concourse-Concourse Village                                           
1728,Aviation Career & Technical Education High School,0.0,1.0,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,11419.0,40.693006,-73.829407,9.0,28.0,120.0,4441342.0,4094350016.0,Richmond Hill                                                              
1729,P.S. 041 Gun Hill Road,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,10457.0,40.842084,-73.891116,6.0,17.0,36902.0,2009957.0,2029490064.0,East Tremont                                                               
1730,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Bronx High School of Business |Bronx High School for Medical Science |Jonathan Levin High School for Media and Communica |Claremont International HS |240 EAST 172 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10457.0,40.840422,-73.91091,4.0,16.0,225.0,2007806.0,2028170002.0,East Concourse-Concourse Village                                           
1731,J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,1.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11001.0,40.734318,-73.709137,13.0,23.0,157903.0,4180083.0,4088010014.0,Glen Oaks-Floral Park-New Hyde Park                                        
1732,South Bronx Preparatory: A College Board School |  M.S. 223 The Laboratory School of Finance and Tech |  360 EAST 145 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10451.0,40.82316,-73.921631,4.0,17.0,61.0,2002458.0,2024430190.0,East Concourse-Concourse Village                                           
1733,P.S. 029 Bardwell,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10308.0,40.557876,-74.155356,3.0,51.0,14608.0,5070651.0,5054440012.0,Great Kills                                                                
1734,High School for Environmental Studies |  Independence High School |  Restart - Citywide |  444 WEST 56 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10013.0,40.718219,-74.010519,1.0,1.0,39.0,1083240.0,1001420025.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
1735,P.S. 124 Osmond A Church,1.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11369.0,40.764646,-73.871641,3.0,21.0,357.0,4024487.0,4011090016.0,East Elmhurst                                                              
1736,School of Performing Arts | Entrada Academy | South Bronx Classical Charter School | 977 FOX STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10453.0,40.848516,-73.908427,5.0,14.0,23301.0,2007902.0,2028270001.0,Mount Hope                                                                 
1737,Renaissance High School for Musical Theater & Tech |  Pelham Lab High School |  Schuylerville Preparatory High School |  Bronx River High School |  Herbert H. Lehman High School. |  Herbert H. Lehman Yabc |  Westchester Square Academy |  3000 EAST TREMONT AVENUE CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10457.0,40.840422,-73.91091,4.0,16.0,225.0,2007806.0,2028170002.0,East Concourse-Concourse Village                                           
